"Nome","Link"
"March Comes in Like a Lion (film)","https://en.wikipedia.org/wiki/March_Comes_in_Like_a_Lion_(film)"
"Coming-of-age story","https://en.wikipedia.org/wiki/Coming-of-age_story"
"Romantic comedy","https://en.wikipedia.org/wiki/Romantic_comedy"
"Chica Umino","https://en.wikipedia.org/wiki/Chica_Umino"
"Hakusensha","https://en.wikipedia.org/wiki/Hakusensha"
"Seinen manga","https://en.wikipedia.org/wiki/Seinen_manga"
"Young Animal (magazine)","https://en.wikipedia.org/wiki/Young_Animal_(magazine)"
"Akiyuki Shinbo","https://en.wikipedia.org/wiki/Akiyuki_Shinbo"
"Yukari Hashimoto","https://en.wikipedia.org/wiki/Yukari_Hashimoto"
"Shaft (company)","https://en.wikipedia.org/wiki/Shaft_(company)"
"Northern America","https://en.wikipedia.org/wiki/Northern_America"
"Aniplex of America","https://en.wikipedia.org/wiki/Aniplex_of_America"
"United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom"
"Anime Limited","https://en.wikipedia.org/wiki/Anime_Limited"
"NHK General TV","https://en.wikipedia.org/wiki/NHK_General_TV"
"United States","https://en.wikipedia.org/wiki/United_States"
"TV Japan","https://en.wikipedia.org/wiki/TV_Japan"
"List of March Comes in like a Lion episodes","https://en.wikipedia.org/wiki/List_of_March_Comes_in_like_a_Lion_episodes"
"March Comes in Like a Lion (film)","https://en.wikipedia.org/wiki/March_Comes_in_Like_a_Lion_(film)"
"Portal:Anime and Manga","https://en.wikipedia.org/wiki/Portal:Anime_and_Manga"
"Japanese language","https://en.wikipedia.org/wiki/Japanese_language"
"Hepburn romanization","https://en.wikipedia.org/wiki/Hepburn_romanization"
"Manga","https://en.wikipedia.org/wiki/Manga"
"Chica Umino","https://en.wikipedia.org/wiki/Chica_Umino"
"Honey and Clover","https://en.wikipedia.org/wiki/Honey_and_Clover"
"Hakusensha","https://en.wikipedia.org/wiki/Hakusensha"
"Seinen manga","https://en.wikipedia.org/wiki/Seinen_manga"
"Young Animal (magazine)","https://en.wikipedia.org/wiki/Young_Animal_(magazine)"
"Tankōbon","https://en.wikipedia.org/wiki/Tank%C5%8Dbon"
"Anime","https://en.wikipedia.org/wiki/Anime"
"Shaft (company)","https://en.wikipedia.org/wiki/Shaft_(company)"
"NHK","https://en.wikipedia.org/wiki/NHK"
"March Comes in Like a Lion (film)","https://en.wikipedia.org/wiki/March_Comes_in_Like_a_Lion_(film)"
"Professional shogi player","https://en.wikipedia.org/wiki/Professional_shogi_player"
"Manabu Senzaki","https://en.wikipedia.org/wiki/Manabu_Senzaki"
"Edit section: Story","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=1"
"Tokyo","https://en.wikipedia.org/wiki/Tokyo"
"Shōgi","https://en.wikipedia.org/wiki/Sh%C5%8Dgi"
"Cat","https://en.wikipedia.org/wiki/Cat"
"Edit section: Characters","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=2"
"Edit section: Main characters","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=3"
"Kengo Kawanishi","https://en.wikipedia.org/wiki/Kengo_Kawanishi"
"Ryunosuke Kamiki","https://en.wikipedia.org/wiki/Ryunosuke_Kamiki"
"Shogi","https://en.wikipedia.org/wiki/Shogi#Player_ranking_and_handicaps"
"Secondary education in Japan","https://en.wikipedia.org/wiki/Secondary_education_in_Japan"
"Ryunosuke Kamiki","https://en.wikipedia.org/wiki/Ryunosuke_Kamiki"
"Ai Kayano","https://en.wikipedia.org/wiki/Ai_Kayano"
"Laura Post","https://en.wikipedia.org/wiki/Laura_Post"
"Kana Kurashina","https://en.wikipedia.org/wiki/Kana_Kurashina"
"Wagashi","https://en.wikipedia.org/wiki/Wagashi"
"Kana Kurashina","https://en.wikipedia.org/wiki/Kana_Kurashina"
"Kana Hanazawa","https://en.wikipedia.org/wiki/Kana_Hanazawa"
"Kaya Kiyohara","https://en.wikipedia.org/wiki/Kaya_Kiyohara"
"Secondary education in Japan","https://en.wikipedia.org/wiki/Secondary_education_in_Japan"
"Bento","https://en.wikipedia.org/wiki/Bento"
"Misaki Kuno","https://en.wikipedia.org/wiki/Misaki_Kuno"
"Xanthe Huynh","https://en.wikipedia.org/wiki/Xanthe_Huynh"
"Education in Japan","https://en.wikipedia.org/wiki/Education_in_Japan#Kindergarten_and_Nursery_school"
"My Neighbour Totoro","https://en.wikipedia.org/wiki/My_Neighbour_Totoro"
"Edit section: Kōda family","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=4"
"Tōru Ōkawa","https://en.wikipedia.org/wiki/T%C5%8Dru_%C5%8Ckawa"
"Cam Clarke","https://en.wikipedia.org/wiki/Cam_Clarke"
"Etsushi Toyokawa","https://en.wikipedia.org/wiki/Etsushi_Toyokawa"
"Etsushi Toyokawa","https://en.wikipedia.org/wiki/Etsushi_Toyokawa"
"Marina Inoue","https://en.wikipedia.org/wiki/Marina_Inoue"
"Lauren Landa","https://en.wikipedia.org/wiki/Lauren_Landa"
